s,betax,alphax,psix,etax,etaxp,xAperture,betay,alphay,psiy,etay,etayp,yAperture,pCentral0,ElementName,ElementOccurence,ElementType,ChamberShape
6.2700999999999176e+00,3.9069726974776934e+01,3.4624784705811663e+01,4.6318498271394786e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.4954303388920948e+01,1.5804426805751154e+02,3.2798607918111764e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    99,      QUAD,               ?
6.2712999999999175e+00,3.8985030285392604e+01,3.5954799931193001e+01,4.6318805745874023e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.4579360397998698e+01,1.5441260631064478e+02,3.2798734545829369e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,   100,      QUAD,               ?
6.2722999999999178e+00,3.8913153871284557e+01,3.5921614176850341e+01,4.6319062491377556e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.4270787293796076e+01,1.5416049789198655e+02,3.2798840450044660e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,     1,      DRIF,               ?
6.2732999999999182e+00,3.8841343828685197e+01,3.5888428422507680e+01,4.6319319711334259e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.3962718406430767e+01,1.5390838947332833e+02,3.2798946701196448e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,     2,      DRIF,               ?
6.2742999999999185e+00,3.8769600157594525e+01,3.5855242668165019e+01,4.6319577407060146e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.3655153735902772e+01,1.5365628105467010e+02,3.2799053300992327e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,     3,      DRIF,               ?
6.2752999999999188e+00,3.8697922858012532e+01,3.5822056913822358e+01,4.6319835579876116e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.3348093282212091e+01,1.5340417263601188e+02,3.2799160251151114e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,     4,      DRIF,               ?
6.2762999999999192e+00,3.8626311929939227e+01,3.5788871159479697e+01,4.6320094231107953e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.3041537045358737e+01,1.5315206421735365e+02,3.2799267553402940e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,     5,      DRIF,               ?
6.2772999999999195e+00,3.8554767373374609e+01,3.5755685405137037e+01,4.6320353362086371e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.2735485025342697e+01,1.5289995579869543e+02,3.2799375209489345e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,     6,      DRIF,               ?
6.2782999999999198e+00,3.8483289188318679e+01,3.5722499650794376e+01,4.6320612974147002e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.2429937222163971e+01,1.5264784738003721e+02,3.2799483221163377e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,     7,      DRIF,               ?
6.2792999999999202e+00,3.8411877374771429e+01,3.5689313896451715e+01,4.6320873068630455e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.2124893635822559e+01,1.5239573896137898e+02,3.2799591590189681e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,     8,      DRIF,               ?
6.2802999999999205e+00,3.8340531932732866e+01,3.5656128142109054e+01,4.6321133646882311e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.1820354266318461e+01,1.5214363054272076e+02,3.2799700318344600e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,     9,      DRIF,               ?
6.2812999999999208e+00,3.8269252862202990e+01,3.5622942387766393e+01,4.6321394710253170e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.1516319113651690e+01,1.5189152212406253e+02,3.2799809407416265e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,    10,      DRIF,               ?
6.2822999999999212e+00,3.8198040163181794e+01,3.5589756633423733e+01,4.6321656260098649e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.1212788177822233e+01,1.5163941370540431e+02,3.2799918859204702e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,    11,      DRIF,               ?
6.2832999999999215e+00,3.8126893835669286e+01,3.5556570879081072e+01,4.6321918297779439e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.0909761458830090e+01,1.5138730528674608e+02,3.2800028675521928e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,    12,      DRIF,               ?
6.2842999999999218e+00,3.8055813879665465e+01,3.5523385124738411e+01,4.6322180824661290e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.0607238956675261e+01,1.5113519686808786e+02,3.2800138858192045e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,    13,      DRIF,               ?
6.2852999999999222e+00,3.7984800295170331e+01,3.5490199370395750e+01,4.6322443842115062e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.0305220671357745e+01,1.5088308844942964e+02,3.2800249409051343e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,    14,      DRIF,               ?
6.2862999999999225e+00,3.7913853082183877e+01,3.5457013616053089e+01,4.6322707351516748e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.0003706602877543e+01,1.5063098003077141e+02,3.2800360329948415e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,        D2,    15,      DRIF,               ?
